SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542012,AAL         ,B ,Q,360,364,356,360.35,360,359.2,344,28671,10316331,
542013,DOLFIN      ,B ,Q,125.5,127.35,124.8,125,126.15,126.95,24,489,61118,
542019,SHUBHAM     ,B ,Q,23,23.79,22.12,22.31,22.45,23.21,240,22549,510547,
542020,AKI         ,B ,Q,94.45,97,90.7,93.65,94.5,93.7,444,8262,771633,
542025,SUNRETAIL   ,M ,Q,0.6,0.6,0.6,0.6,0.6,0.59,1,48000,28800,
542034,SMGOLD      ,B ,Q,15.6,15.8,15.22,15.54,15.52,15.44,206,26306,408674,
542057,BCPL        ,B ,Q,45.24,46.25,44.7,44.83,44.83,45.23,177,20611,934941,
542066,ATGL        ,A ,Q,827.05,838,777.45,777.45,777.45,818.35,15198,213214,167435088,
542123,PHOSPHATE   ,X ,Q,143.85,143.85,137,139,139,137,19,671,94995,
542131,MAN50ETF    ,B ,Q,191,192.87,191,192.69,192.6,191.57,34,1174,224910,
542141,TECHNOE     ,A ,Q,367.85,385.5,367.2,385,385.5,368.9,569,8563,3273111,
542145,RONI        ,M ,Q,34.5,35.8,34.5,35.8,35.8,34.1,2,16200,561240,
542155,DGL         ,M ,Q,2.95,2.95,2.95,2.95,2.95,3.06,2,4000,11800,
542206,NIVAKA      ,X ,Q,2.83,2.95,2.83,2.93,2.94,3.02,38,6061,17714,
542216,DALBHARAT   ,A ,Q,2079.25,2094.95,2066.85,2074.3,2071.9,2081.55,524,3344,6963128,
542230,ABSLNN50ET  ,B ,Q,42,42.32,42,42.12,42.12,42.03,26,2568,108343,
542231,NILASPACES  ,B ,Q,2.86,2.86,2.7,2.73,2.74,2.86,121,168465,463590,
542232,SRD         ,B ,Q,125,125.45,122.1,123.95,124.7,124.1,518,9585,1187779,
542233,TREJHARA    ,B ,Q,63,63,60.71,61,60.77,61.02,84,3368,205007,
542248,DECCAN      ,M ,Q,29,30.85,29,29.85,29.85,28.8,4,74400,2160840,
542285,AXITA       ,B ,Q,27.93,30.85,27.93,30.31,30.31,29.39,3366,2470951,70640002,
542323,KPIGREEN    ,B ,Q,487.05,490.6,482,487.65,485.65,486.15,313,5340,2588576,
542333,RPSGVENT    ,B ,Q,450.45,482.8,450.45,477.9,480,459.55,165,1181,551086,
542337,SPENCER     ,B ,Q,61.18,61.74,60.8,60.99,60.9,61.08,160,1823,111671,
542351,GLOSTERLTD  ,X ,Q,721.05,757,718.5,721.8,721.8,717.5,189,2878,2114033,
542367,XELPMOC     ,T ,Q,105.65,107.85,105.65,106.85,106.85,105.5,13,591,63232,
542383,RITCO       ,B ,Q,176.15,178.25,170.65,173.8,173.8,176,68,841,145943,
542399,CHALET      ,A ,Q,423.8,432.3,418.25,424.1,427,417.35,1865,41169,17493511,
542437,ANMOL       ,B ,Q,238,244.4,234,241.6,242.5,236.15,230,3909,932876,
542446,JONJUA      ,M ,Q,8.32,8.32,8.32,8.32,8.32,9.05,1,3460,28787,
542459,KRANTI      ,B ,Q,70.02,76.4,70.02,74.38,74.25,73.32,120,15878,1172063,
542460,ANUP        ,B ,Q,1253.05,1289,1236.15,1247.85,1241,1250.9,1394,8502,10767541,
542484,ARVINDFASN  ,A ,Q,277,288.5,275.1,285.95,285.95,277.2,1157,20093,5712892,
542513,UTISXN50    ,A ,Q,52.4,52.74,51.9,52.1,51.9,52.3,108,321,16733,
542524,AIHL        ,XT,Q,37.05,37.05,37.05,37.05,37.05,39,1,10,370,
542579,AGOL        ,T ,Q,82.95,82.95,80.1,82.85,82.85,81.2,18,709,58534,
542580,AARTECH     ,M ,Q,70,71.99,65.66,71.99,71.99,71.88,10,20000,1355500,
542597,MSTC        ,A ,Q,309.7,319.95,307.35,313,313,305.2,1411,45182,14311508,
542602,EMBASSY     ,IF,Q,313.8,313.8,308,309.93,309.93,311.26,1085,26196,8129024,
542627,CHANDNIMACH ,X ,Q,17,17,15,15.15,15.15,15,11,1728,26157,
542628,NSL         ,M ,Q,252.95,252.95,245,251.5,251.7,246.1,5,11500,2830450,
542649,RVNL        ,A ,Q,123.7,124.9,117,120.7,120.7,120.45,29540,2897019,351172214,
542650,METROPOLIS  ,A ,Q,1358.05,1369.5,1336.6,1342.95,1337,1354.55,1436,11657,15782490,
542651,KPITTECH    ,A ,Q,897.05,924.5,895.1,920.45,920.45,898.7,6314,128368,117405723,
542652,POLYCAB     ,A ,Q,3422.85,3422.85,3298.8,3378.6,3378.6,3388.55,2944,21087,70486091,
542655,VIKASLIFE   ,B ,Q,3.06,3.09,3.05,3.06,3.06,3.05,1502,2134007,6537813,
542665,NEOGEN      ,A ,Q,1483.5,1502.35,1451.45,1473.85,1473.85,1523.2,1429,8689,12801985,
542666,GKP         ,B ,Q,13.76,13.76,13.06,13.21,13.13,13.21,249,28990,384361,
542667,WORL        ,B ,Q,19,19.88,18.27,18.27,18.3,19.23,438,102813,1914599,
542668,EVANS       ,M ,Q,139,139,138.8,139,139,135,3,3000,416800,
542669,BMW         ,X ,Q,29.9,30.5,28.53,29.93,30,29.63,255,46271,1391097,
542670,AEPL        ,T ,Q,16.97,16.99,16,16.91,16.94,16.19,114,18874,316984,
542677,MAHESH      ,X ,Q,14.05,14.05,14.05,14.05,14.05,13.39,1,10,140,
542678,CHCL        ,M ,Q,31.5,32,31.48,31.48,31.48,33.13,20,44000,1388320,
542679,DEL         ,X ,Q,28.49,28.49,23.52,23.52,23.52,24.51,46,6177,151033,
542682,HARISH      ,X ,Q,36.9,36.9,35,35,35,32,35,4752,170985,
542684,PPL         ,B ,Q,172.9,172.9,166.4,168.1,168.1,172.5,890,18791,3198106,
542685,DGCONTENT   ,B ,Q,17.17,18,16.4,16.4,16.4,16.05,41,1816,31225,
542694,PARSHVA     ,T ,Q,160,167,160,167,167,160.05,7,159,25979,
542721,ARL         ,B ,Q,38.56,42.5,38.56,40.96,40.96,40.58,58,16359,683828,
542724,EARUM       ,B ,Q,2.14,2.17,2.1,2.12,2.13,2.15,338,433306,922128,
542725,SBC         ,B ,Q,23.36,23.7,22.4,22.58,22.58,22.89,1860,1381029,31974905,
542726,INDIAMART   ,A ,Q,5900.2,5977.9,5852.4,5957.9,5955,5906.3,605,1696,10056292,
542727,CPML        ,M ,Q,71.15,81.8,71.15,79,79,79,3,6000,463900,
542729,DCMNVL      ,B ,Q,154.15,155.25,147.05,149.2,149.2,160.1,153,3229,486865,
542730,ICICIBANKN  ,B ,Q,43.75,44.19,43.71,44.09,44.04,43.85,104,38403,1692715,
542747,SNXT50BEES  ,A ,Q,51.4,52.38,51.05,51.61,51.6,51.58,77,3531,182107,
542752,AFFLE       ,A ,Q,889.9,928.35,875.25,921.45,921.9,919.85,3257,246964,225215831,
542753,SEACOAST    ,X ,Q,3.13,3.23,3.13,3.21,3.21,3.19,1012,881141,2819620,
542758,ICICIBANKP  ,B ,Q,220.1,221.5,218.1,221.25,221.25,220.84,109,1267,278167,
542759,SPANDANA    ,A ,Q,645,645,631.9,635.85,634.5,641.95,770,8279,5268438,
542760,SWSOLAR     ,A ,Q,294.05,295.4,287.8,289.3,289.3,293.9,1000,24715,7181645,
542765,TRANSPACT   ,MS,Q,189.15,189.15,171.15,171.15,171.15,180.15,18,22000,3936750,
542770,ALPHALOGIC  ,B ,Q,41.48,41.48,39.65,40.02,39.81,39.52,174,26214,1060487,
542772,360ONE      ,A ,Q,409.05,415.95,406.75,410.95,410.55,407.25,1017,15600,6419185,
542773,IIFLSEC     ,B ,Q,58.01,58.93,57.4,57.55,57.55,57.59,705,35719,2076793,
542774,MUFIN       ,X ,Q,127,130.5,126.5,127.1,127.5,126.35,97,12381,1582974,
542802,GALACTICO   ,B ,Q,5.04,5.19,4.95,5.16,5.16,4.95,2059,1255489,6381265,
542803,VEL         ,X ,Q,17.19,17.19,15.56,15.68,16,16.54,13,751,12222,
542804,NIESSPJ     ,B ,Q,18,18,15.6,15.6,15.6,16.59,4,212,3813,
542810,NIESSPA     ,B ,Q,106.55,106.55,106.55,106.55,106.55,118.35,1,1,106,
542812,FLUOROCHEM  ,A ,Q,3252,3307.15,3241,3287.55,3290,3242.65,798,4658,15291966,
542830,IRCTC       ,A ,Q,626.95,635.75,624.9,632.1,632.1,628.35,1954,39769,25093575,
